name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,gtex_tissue,data_source,endedness,genetically_modified,nonzero_mean,output_type,histone_mark,transcription_factor
CL:0000594 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,CL:0000594,skeletal muscle satellite cell,primary_cell,adult,,encode,single,False,0.9965997934341431,CHIP_HISTONE,H3K9ac,
CL:0000623 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0000623,natural killer cell,primary_cell,adult,,encode,single,False,1.1057385206222534,CHIP_HISTONE,H3K27ac,
CL:0000623 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0000623,natural killer cell,primary_cell,adult,,encode,single,False,1.1983306407928467,CHIP_HISTONE,H3K36me3,
CL:0000623 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0000623,natural killer cell,primary_cell,adult,,encode,single,False,1.7212512493133545,CHIP_HISTONE,H3K4me1,
CL:0000623 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000623,natural killer cell,primary_cell,adult,,encode,single,False,1.0924755334854126,CHIP_HISTONE,H3K4me3,
CL:0000623 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,CL:0000623,natural killer cell,primary_cell,adult,,encode,single,False,1.444994568824768,CHIP_HISTONE,H3K9me3,
CL:0000624 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,adult,,encode,single,False,0.9602004289627075,CHIP_HISTONE,H3K27ac,
CL:0000624 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,adult,,encode,single,False,1.836999535560608,CHIP_HISTONE,H3K27me3,
CL:0000624 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,adult,,encode,single,False,1.4274044036865234,CHIP_HISTONE,H3K36me3,
CL:0000624 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,adult,,encode,single,False,1.9501261711120605,CHIP_HISTONE,H3K4me1,
CL:0000624 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,adult,,encode,single,False,1.1963306665420532,CHIP_HISTONE,H3K4me3,
CL:0000624 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,adult,,encode,single,False,1.860047459602356,CHIP_HISTONE,H3K9me3,
CL:0000625 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,,encode,single,False,1.040993332862854,CHIP_HISTONE,H3K27ac,
CL:0000625 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,,encode,single,False,1.77400541305542,CHIP_HISTONE,H3K27me3,
CL:0000625 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,,encode,single,False,0.937209963798523,CHIP_HISTONE,H3K36me3,
CL:0000625 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,,encode,single,False,1.0011892318725586,CHIP_HISTONE,H3K4me1,
CL:0000625 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,,encode,single,False,1.409015417098999,CHIP_HISTONE,H3K4me3,
CL:0000625 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,,encode,single,False,1.7480512857437134,CHIP_HISTONE,H3K9ac,
CL:0000625 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,,encode,single,False,1.0857267379760742,CHIP_HISTONE,H3K9me3,
CL:0000706 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000706,choroid plexus epithelial cell,primary_cell,unknown,,encode,single,False,2.0453009605407715,CHIP_HISTONE,H3K4me3,
CL:0000746 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0000746,cardiac muscle cell,in_vitro_differentiated_cells,embryonic,,encode,single,False,0.7914988994598389,CHIP_HISTONE,H3K27ac,
CL:0000746 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0000746,cardiac muscle cell,in_vitro_differentiated_cells,embryonic,,encode,single,False,0.8161104917526245,CHIP_HISTONE,H3K27me3,
CL:0000746 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0000746,cardiac muscle cell,in_vitro_differentiated_cells,embryonic,,encode,single,False,0.8119232654571533,CHIP_HISTONE,H3K36me3,
CL:0000746 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0000746,cardiac muscle cell,in_vitro_differentiated_cells,embryonic,,encode,single,False,0.793128252029419,CHIP_HISTONE,H3K4me1,
CL:0000746 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000746,cardiac muscle cell,primary_cell,unknown,,encode,single,False,3.5106585025787354,CHIP_HISTONE,H3K4me3,
CL:0000775 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0000775,neutrophil,primary_cell,unknown,,encode,single,False,0.8244473338127136,CHIP_HISTONE,H3K27ac,
CL:0000775 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0000775,neutrophil,primary_cell,unknown,,encode,single,False,0.8658792972564697,CHIP_HISTONE,H3K27me3,
CL:0000775 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0000775,neutrophil,primary_cell,unknown,,encode,single,False,0.8393487930297852,CHIP_HISTONE,H3K36me3,
CL:0000775 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0000775,neutrophil,primary_cell,unknown,,encode,single,False,0.837249755859375,CHIP_HISTONE,H3K4me1,
CL:0000775 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000775,neutrophil,primary_cell,unknown,,encode,single,False,0.8037970662117004,CHIP_HISTONE,H3K4me3,
CL:0000775 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,CL:0000775,neutrophil,primary_cell,unknown,,encode,single,False,1.2437853813171387,CHIP_HISTONE,H3K9me3,
CL:0000792 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,unknown,,encode,single,False,3.7528088092803955,CHIP_HISTONE,H3K27ac,
CL:0000792 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,unknown,,encode,single,False,1.3723632097244263,CHIP_HISTONE,H3K27me3,
CL:0000792 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,unknown,,encode,single,False,0.9902058839797974,CHIP_HISTONE,H3K36me3,
CL:0000792 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,unknown,,encode,single,False,1.428789496421814,CHIP_HISTONE,H3K4me1,
CL:0000792 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,unknown,,encode,single,False,2.1308674812316895,CHIP_HISTONE,H3K4me3,
CL:0000792 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,unknown,,encode,single,False,0.8295873999595642,CHIP_HISTONE,H3K9me3,
CL:0000842 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0000842,mononuclear cell,primary_cell,unknown,,encode,single,False,0.8204377293586731,CHIP_HISTONE,H3K27me3,
CL:0000842 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0000842,mononuclear cell,primary_cell,unknown,,encode,single,False,0.9629728198051453,CHIP_HISTONE,H3K4me1,
CL:0000842 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000842,mononuclear cell,primary_cell,unknown,,encode,single,False,0.8454005718231201,CHIP_HISTONE,H3K4me3,
CL:0000895 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,unknown,,encode,single,False,1.5007438659667969,CHIP_HISTONE,H3K27ac,
CL:0000895 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,unknown,,encode,single,False,0.7769186496734619,CHIP_HISTONE,H3K36me3,
CL:0000895 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,unknown,,encode,single,False,0.7501938343048096,CHIP_HISTONE,H3K4me1,
CL:0000895 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,unknown,,encode,single,False,0.7959851026535034,CHIP_HISTONE,H3K4me3,
CL:0000897 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0000897,"CD4-positive, alpha-beta memory T cell",primary_cell,unknown,,encode,single,False,1.265649437904358,CHIP_HISTONE,H3K27ac,
CL:0000897 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0000897,"CD4-positive, alpha-beta memory T cell",primary_cell,unknown,,encode,single,False,0.8145694732666016,CHIP_HISTONE,H3K36me3,
CL:0000897 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0000897,"CD4-positive, alpha-beta memory T cell",primary_cell,unknown,,encode,single,False,0.8242737054824829,CHIP_HISTONE,H3K4me1,
CL:0000897 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000897,"CD4-positive, alpha-beta memory T cell",primary_cell,unknown,,encode,single,False,0.7992186546325684,CHIP_HISTONE,H3K4me3,
CL:0000905 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0000905,"effector memory CD4-positive, alpha-beta T cell",primary_cell,unknown,,encode,single,False,1.443172574043274,CHIP_HISTONE,H3K27ac,
CL:0000905 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0000905,"effector memory CD4-positive, alpha-beta T cell",primary_cell,unknown,,encode,single,False,0.9221175909042358,CHIP_HISTONE,H3K36me3,
CL:0000905 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000905,"effector memory CD4-positive, alpha-beta T cell",primary_cell,unknown,,encode,single,False,1.0698696374893188,CHIP_HISTONE,H3K4me3,
CL:0000909 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0000909,"CD8-positive, alpha-beta memory T cell",primary_cell,unknown,,encode,single,False,1.3422130346298218,CHIP_HISTONE,H3K27ac,
CL:0000909 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0000909,"CD8-positive, alpha-beta memory T cell",primary_cell,unknown,,encode,single,False,0.8160771131515503,CHIP_HISTONE,H3K36me3,
CL:0000909 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0000909,"CD8-positive, alpha-beta memory T cell",primary_cell,unknown,,encode,single,False,0.8387834429740906,CHIP_HISTONE,H3K4me1,
CL:0000909 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0000909,"CD8-positive, alpha-beta memory T cell",primary_cell,unknown,,encode,single,False,0.7764924168586731,CHIP_HISTONE,H3K4me3,
CL:0001054 Histone ChIP-seq H2AFZ,.,Histone ChIP-seq,CL:0001054,CD14-positive monocyte,primary_cell,unknown,,encode,single,False,1.2726267576217651,CHIP_HISTONE,H2AFZ,
CL:0001054 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0001054,CD14-positive monocyte,primary_cell,adult,,encode,single,False,1.366492509841919,CHIP_HISTONE,H3K27ac,
CL:0001054 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0001054,CD14-positive monocyte,primary_cell,adult,,encode,single,False,1.2522672414779663,CHIP_HISTONE,H3K27me3,
CL:0001054 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0001054,CD14-positive monocyte,primary_cell,adult,,encode,single,False,1.881212830543518,CHIP_HISTONE,H3K36me3,
CL:0001054 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0001054,CD14-positive monocyte,primary_cell,adult,,encode,single,False,1.5222563743591309,CHIP_HISTONE,H3K4me1,
CL:0001054 Histone ChIP-seq H3K4me2,.,Histone ChIP-seq,CL:0001054,CD14-positive monocyte,primary_cell,unknown,,encode,single,False,2.0045270919799805,CHIP_HISTONE,H3K4me2,
CL:0001054 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0001054,CD14-positive monocyte,primary_cell,adult,,encode,single,False,1.1920089721679688,CHIP_HISTONE,H3K4me3,
CL:0001054 Histone ChIP-seq H3K79me2,.,Histone ChIP-seq,CL:0001054,CD14-positive monocyte,primary_cell,unknown,,encode,single,False,1.653550148010254,CHIP_HISTONE,H3K79me2,
CL:0001054 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,CL:0001054,CD14-positive monocyte,primary_cell,unknown,,encode,single,False,1.2866066694259644,CHIP_HISTONE,H3K9ac,
CL:0001054 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,CL:0001054,CD14-positive monocyte,primary_cell,adult,,encode,single,False,1.3481738567352295,CHIP_HISTONE,H3K9me3,
CL:0001054 Histone ChIP-seq H4K20me1,.,Histone ChIP-seq,CL:0001054,CD14-positive monocyte,primary_cell,unknown,,encode,single,False,1.5084744691848755,CHIP_HISTONE,H4K20me1,
CL:0001059 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0001059,"common myeloid progenitor, CD34-positive",primary_cell,adult,,encode,single,False,1.7290501594543457,CHIP_HISTONE,H3K27ac,
CL:0001059 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0001059,"common myeloid progenitor, CD34-positive",primary_cell,adult,,encode,single,False,0.9181594252586365,CHIP_HISTONE,H3K27me3,
CL:0001059 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0001059,"common myeloid progenitor, CD34-positive",primary_cell,adult,,encode,single,False,0.9064100980758667,CHIP_HISTONE,H3K36me3,
CL:0001059 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0001059,"common myeloid progenitor, CD34-positive",primary_cell,adult,,encode,single,False,1.0432772636413574,CHIP_HISTONE,H3K4me1,
CL:0001059 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0001059,"common myeloid progenitor, CD34-positive",primary_cell,adult,,encode,single,False,1.0541969537734985,CHIP_HISTONE,H3K4me3,
CL:0001059 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,CL:0001059,"common myeloid progenitor, CD34-positive",primary_cell,adult,,encode,single,False,1.2970075607299805,CHIP_HISTONE,H3K9me3,
CL:0002231 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0002231,epithelial cell of prostate,primary_cell,unknown,,encode,paired,False,0.852828860282898,CHIP_HISTONE,H3K27ac,
CL:0002252 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002252,epithelial cell of esophagus,primary_cell,unknown,,encode,single,False,1.167810320854187,CHIP_HISTONE,H3K4me3,
CL:0002306 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002306,epithelial cell of proximal tubule,primary_cell,unknown,,encode,single,False,1.7776589393615723,CHIP_HISTONE,H3K4me3,
CL:0002319 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0002319,neural cell,in_vitro_differentiated_cells,embryonic,,encode,single,False,0.8542282581329346,CHIP_HISTONE,H3K27ac,
CL:0002319 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002319,neural cell,in_vitro_differentiated_cells,embryonic,,encode,single,False,0.8454180955886841,CHIP_HISTONE,H3K4me3,
CL:0002319 Histone ChIP-seq H3K79me2,.,Histone ChIP-seq,CL:0002319,neural cell,in_vitro_differentiated_cells,embryonic,,encode,single,False,0.8458381295204163,CHIP_HISTONE,H3K79me2,
CL:0002319 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,CL:0002319,neural cell,in_vitro_differentiated_cells,embryonic,,encode,single,False,0.8596713542938232,CHIP_HISTONE,H3K9ac,
CL:0002324 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0002324,myoepithelial cell of mammary gland,primary_cell,adult,,encode,single,False,1.2481344938278198,CHIP_HISTONE,H3K27me3,
CL:0002324 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0002324,myoepithelial cell of mammary gland,primary_cell,adult,,encode,single,False,1.3310545682907104,CHIP_HISTONE,H3K36me3,
CL:0002324 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0002324,myoepithelial cell of mammary gland,primary_cell,adult,,encode,single,False,1.1346843242645264,CHIP_HISTONE,H3K4me1,
CL:0002324 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002324,myoepithelial cell of mammary gland,primary_cell,adult,,encode,single,False,1.9428181648254395,CHIP_HISTONE,H3K4me3,
CL:0002324 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,CL:0002324,myoepithelial cell of mammary gland,primary_cell,adult,,encode,single,False,1.8589320182800293,CHIP_HISTONE,H3K9ac,
CL:0002324 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,CL:0002324,myoepithelial cell of mammary gland,primary_cell,adult,,encode,single,False,1.4625475406646729,CHIP_HISTONE,H3K9me3,
CL:0002326 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0002326,luminal epithelial cell of mammary gland,primary_cell,adult,,encode,single,False,2.1947197914123535,CHIP_HISTONE,H3K27me3,
CL:0002326 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0002326,luminal epithelial cell of mammary gland,primary_cell,adult,,encode,single,False,1.0798907279968262,CHIP_HISTONE,H3K36me3,
CL:0002326 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0002326,luminal epithelial cell of mammary gland,primary_cell,adult,,encode,single,False,2.75551700592041,CHIP_HISTONE,H3K4me1,
CL:0002326 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,CL:0002326,luminal epithelial cell of mammary gland,primary_cell,adult,,encode,single,False,1.7127506732940674,CHIP_HISTONE,H3K9me3,
CL:0002327 Histone ChIP-seq H2AFZ,.,Histone ChIP-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,,encode,single,False,1.0680005550384521,CHIP_HISTONE,H2AFZ,
CL:0002327 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,,encode,single,False,1.4711294174194336,CHIP_HISTONE,H3K27ac,
CL:0002327 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,,encode,single,False,1.1175118684768677,CHIP_HISTONE,H3K27me3,
CL:0002327 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,,encode,single,False,0.9088714718818665,CHIP_HISTONE,H3K36me3,
CL:0002327 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,,encode,single,False,1.1306720972061157,CHIP_HISTONE,H3K4me1,
CL:0002327 Histone ChIP-seq H3K4me2,.,Histone ChIP-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,,encode,single,False,1.4887701272964478,CHIP_HISTONE,H3K4me2,
CL:0002327 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,,encode,single,False,0.7996102571487427,CHIP_HISTONE,H3K4me3,
CL:0002327 Histone ChIP-seq H3K79me2,.,Histone ChIP-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,,encode,single,False,1.5507910251617432,CHIP_HISTONE,H3K79me2,
CL:0002327 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,,encode,single,False,1.8133935928344727,CHIP_HISTONE,H3K9ac,
CL:0002327 Histone ChIP-seq H3K9me3,.,Histone ChIP-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,,encode,single,False,1.11653470993042,CHIP_HISTONE,H3K9me3,
CL:0002328 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0002328,bronchial epithelial cell,primary_cell,unknown,,encode,single,False,1.2896040678024292,CHIP_HISTONE,H3K36me3,
CL:0002328 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002328,bronchial epithelial cell,primary_cell,unknown,,encode,single,False,2.163724184036255,CHIP_HISTONE,H3K4me3,
CL:0002372 Histone ChIP-seq H2AFZ,.,Histone ChIP-seq,CL:0002372,myotube,in_vitro_differentiated_cells,adult,,encode,single,False,1.1194050312042236,CHIP_HISTONE,H2AFZ,
CL:0002372 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0002372,myotube,in_vitro_differentiated_cells,adult,,encode,single,False,1.9409259557724,CHIP_HISTONE,H3K27ac,
CL:0002372 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0002372,myotube,in_vitro_differentiated_cells,adult,,encode,single,False,0.9280364513397217,CHIP_HISTONE,H3K27me3,
CL:0002372 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0002372,myotube,in_vitro_differentiated_cells,adult,,encode,single,False,1.1428780555725098,CHIP_HISTONE,H3K36me3,
CL:0002372 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0002372,myotube,in_vitro_differentiated_cells,adult,,encode,single,False,1.2412523031234741,CHIP_HISTONE,H3K4me1,
CL:0002372 Histone ChIP-seq H3K4me2,.,Histone ChIP-seq,CL:0002372,myotube,in_vitro_differentiated_cells,adult,,encode,single,False,1.2531827688217163,CHIP_HISTONE,H3K4me2,
CL:0002372 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002372,myotube,in_vitro_differentiated_cells,adult,,encode,single,False,1.263627290725708,CHIP_HISTONE,H3K4me3,
CL:0002372 Histone ChIP-seq H3K79me2,.,Histone ChIP-seq,CL:0002372,myotube,in_vitro_differentiated_cells,adult,,encode,single,False,1.1767727136611938,CHIP_HISTONE,H3K79me2,
CL:0002372 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,CL:0002372,myotube,in_vitro_differentiated_cells,adult,,encode,single,False,1.109142780303955,CHIP_HISTONE,H3K9ac,
CL:0002518 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0002518,kidney epithelial cell,primary_cell,unknown,,encode,single,False,1.0444138050079346,CHIP_HISTONE,H3K27me3,
CL:0002518 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002518,kidney epithelial cell,primary_cell,unknown,,encode,single,False,2.2789642810821533,CHIP_HISTONE,H3K4me3,
CL:0002547 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002547,fibroblast of the aortic adventitia,primary_cell,unknown,,encode,single,False,2.15855073928833,CHIP_HISTONE,H3K4me3,
CL:0002548 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002548,cardiac fibroblast,primary_cell,adult,,encode,single,False,4.85253381729126,CHIP_HISTONE,H3K4me3,
CL:0002551 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0002551,fibroblast of dermis,primary_cell,unknown,,encode,single,False,1.0494565963745117,CHIP_HISTONE,H3K27ac,
CL:0002551 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0002551,fibroblast of dermis,primary_cell,unknown,,encode,single,False,1.0272518396377563,CHIP_HISTONE,H3K36me3,
CL:0002551 Histone ChIP-seq H3K4me1,.,Histone ChIP-seq,CL:0002551,fibroblast of dermis,primary_cell,unknown,,encode,single,False,1.0379791259765625,CHIP_HISTONE,H3K4me1,
CL:0002551 Histone ChIP-seq H3K4me2,.,Histone ChIP-seq,CL:0002551,fibroblast of dermis,primary_cell,unknown,,encode,single,False,1.0568110942840576,CHIP_HISTONE,H3K4me2,
CL:0002551 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002551,fibroblast of dermis,primary_cell,"adult,unknown",,encode,single,False,0.9473881721496582,CHIP_HISTONE,H3K4me3,
CL:0002551 Histone ChIP-seq H3K79me2,.,Histone ChIP-seq,CL:0002551,fibroblast of dermis,primary_cell,unknown,,encode,single,False,0.9836273789405823,CHIP_HISTONE,H3K79me2,
CL:0002551 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,CL:0002551,fibroblast of dermis,primary_cell,unknown,,encode,single,False,1.1766735315322876,CHIP_HISTONE,H3K9ac,
CL:0002553 Histone ChIP-seq H2AFZ,.,Histone ChIP-seq,CL:0002553,fibroblast of lung,primary_cell,"child,adult",,encode,single,False,0.7723867297172546,CHIP_HISTONE,H2AFZ,
CL:0002553 Histone ChIP-seq H3K27ac,.,Histone ChIP-seq,CL:0002553,fibroblast of lung,primary_cell,"adult,child",,encode,single,False,1.5028578042984009,CHIP_HISTONE,H3K27ac,
CL:0002553 Histone ChIP-seq H3K27me3,.,Histone ChIP-seq,CL:0002553,fibroblast of lung,primary_cell,"child,adult",,encode,single,False,1.440978765487671,CHIP_HISTONE,H3K27me3,
CL:0002553 Histone ChIP-seq H3K36me3,.,Histone ChIP-seq,CL:0002553,fibroblast of lung,primary_cell,"adult,child",,encode,single,False,1.2858548164367676,CHIP_HISTONE,H3K36me3,
CL:0002553 Histone ChIP-seq H3K4me2,.,Histone ChIP-seq,CL:0002553,fibroblast of lung,primary_cell,"adult,child",,encode,single,False,2.077979326248169,CHIP_HISTONE,H3K4me2,
CL:0002553 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002553,fibroblast of lung,primary_cell,adult,,encode,single,False,1.4736813306808472,CHIP_HISTONE,H3K4me3,
CL:0002553 Histone ChIP-seq H3K79me2,.,Histone ChIP-seq,CL:0002553,fibroblast of lung,primary_cell,"adult,child",,encode,single,False,1.2818126678466797,CHIP_HISTONE,H3K79me2,
CL:0002553 Histone ChIP-seq H3K9ac,.,Histone ChIP-seq,CL:0002553,fibroblast of lung,primary_cell,"child,adult",,encode,single,False,1.6244899034500122,CHIP_HISTONE,H3K9ac,
CL:0002555 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002555,fibroblast of mammary gland,primary_cell,unknown,,encode,single,False,1.3848494291305542,CHIP_HISTONE,H3K4me3,
CL:0002557 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002557,fibroblast of pulmonary artery,primary_cell,unknown,,encode,single,False,1.9677774906158447,CHIP_HISTONE,H3K4me3,
CL:0002558 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002558,fibroblast of villous mesenchyme,primary_cell,unknown,,encode,single,False,1.4901968240737915,CHIP_HISTONE,H3K4me3,
CL:0002586 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002586,retinal pigment epithelial cell,primary_cell,unknown,,encode,single,False,1.5056036710739136,CHIP_HISTONE,H3K4me3,
CL:0002603 Histone ChIP-seq H3K4me3,.,Histone ChIP-seq,CL:0002603,astrocyte of the cerebellum,primary_cell,unknown,,encode,single,False,2.751863956451416,CHIP_HISTONE,H3K4me3,
